,Rental_Price,Time,District,RoomType
0,2300.0,Q4 2022,Ang Mo Kio,Room3
1,2900.0,Q4 2022,Ang Mo Kio,Room4
2,3150.0,Q4 2022,Ang Mo Kio,Room5
4,2300.0,Q4 2022,Bedok,Room3
5,2800.0,Q4 2022,Bedok,Room4
6,3000.0,Q4 2022,Bedok,Room5
8,2600.0,Q4 2022,Bishan,Room3
9,3200.0,Q4 2022,Bishan,Room4
10,3550.0,Q4 2022,Bishan,Room5
12,2200.0,Q4 2022,Bukit Batok,Room3
13,2650.0,Q4 2022,Bukit Batok,Room4
14,3200.0,Q4 2022,Bukit Batok,Room5
16,2600.0,Q4 2022,Bukit Merah,Room3
17,3500.0,Q4 2022,Bukit Merah,Room4
18,3800.0,Q4 2022,Bukit Merah,Room5
20,2700.0,Q4 2022,Bukit Panjang,Room3
21,2850.0,Q4 2022,Bukit Panjang,Room4
22,3000.0,Q4 2022,Bukit Panjang,Room5
23,3250.0,Q4 2022,Bukit Panjang,Executive
28,2800.0,Q4 2022,Central,Room3
29,3850.0,Q4 2022,Central,Room4
32,2800.0,Q4 2022,Choa Chu Kang,Room3
33,2800.0,Q4 2022,Choa Chu Kang,Room4
34,3000.0,Q4 2022,Choa Chu Kang,Room5
35,3000.0,Q4 2022,Choa Chu Kang,Executive
36,2500.0,Q4 2022,Clementi,Room3
37,3200.0,Q4 2022,Clementi,Room4
38,3400.0,Q4 2022,Clementi,Room5
40,2350.0,Q4 2022,Geylang,Room3
41,3000.0,Q4 2022,Geylang,Room4
44,2300.0,Q4 2022,Hougang,Room3
45,2750.0,Q4 2022,Hougang,Room4
46,2700.0,Q4 2022,Hougang,Room5
47,3000.0,Q4 2022,Hougang,Executive
48,2500.0,Q4 2022,Jurong East,Room3
49,2900.0,Q4 2022,Jurong East,Room4
50,3100.0,Q4 2022,Jurong East,Room5
52,2200.0,Q4 2022,Jurong West,Room3
53,2900.0,Q4 2022,Jurong West,Room4
54,3030.0,Q4 2022,Jurong West,Room5
56,2450.0,Q4 2022,Kallang/ Whampoa,Room3
57,3100.0,Q4 2022,Kallang/ Whampoa,Room4
58,3700.0,Q4 2022,Kallang/ Whampoa,Room5
60,2400.0,Q4 2022,Marine Parade,Room3
61,3350.0,Q4 2022,Marine Parade,Room4
65,2700.0,Q4 2022,Pasir Ris,Room4
66,3000.0,Q4 2022,Pasir Ris,Room5
67,3300.0,Q4 2022,Pasir Ris,Executive
68,2850.0,Q4 2022,Punggol,Room3
69,3000.0,Q4 2022,Punggol,Room4
70,3100.0,Q4 2022,Punggol,Room5
72,2730.0,Q4 2022,Queenstown,Room3
73,3600.0,Q4 2022,Queenstown,Room4
74,4200.0,Q4 2022,Queenstown,Room5
77,3000.0,Q4 2022,Sembawang,Room4
78,2870.0,Q4 2022,Sembawang,Room5
79,3000.0,Q4 2022,Sembawang,Executive
80,2550.0,Q4 2022,Sengkang,Room3
81,3000.0,Q4 2022,Sengkang,Room4
82,3100.0,Q4 2022,Sengkang,Room5
83,3000.0,Q4 2022,Sengkang,Executive
84,2500.0,Q4 2022,Serangoon,Room3
85,3200.0,Q4 2022,Serangoon,Room4
86,2800.0,Q4 2022,Serangoon,Room5
88,2500.0,Q4 2022,Tampines,Room3
89,2800.0,Q4 2022,Tampines,Room4
90,3200.0,Q4 2022,Tampines,Room5
92,2400.0,Q4 2022,Toa Payoh,Room3
93,3450.0,Q4 2022,Toa Payoh,Room4
94,3200.0,Q4 2022,Toa Payoh,Room5
96,2200.0,Q4 2022,Woodlands,Room3
97,2650.0,Q4 2022,Woodlands,Room4
98,3100.0,Q4 2022,Woodlands,Room5
99,2900.0,Q4 2022,Woodlands,Executive
100,2400.0,Q4 2022,Yishun,Room3
101,2800.0,Q4 2022,Yishun,Room4
102,3150.0,Q4 2022,Yishun,Room5
104,2290.0,Q3 2022,Ang Mo Kio,Room3
105,2600.0,Q3 2022,Ang Mo Kio,Room4
106,3000.0,Q3 2022,Ang Mo Kio,Room5
108,2200.0,Q3 2022,Bedok,Room3
109,2500.0,Q3 2022,Bedok,Room4
110,2980.0,Q3 2022,Bedok,Room5
112,2400.0,Q3 2022,Bishan,Room3
