,Rental_Price
592,2200.0
2564,2400.0
4216,1600.0
1000,2400.0
1208,1700.0
3399,2300.0
215,2100.0
429,2200.0
4395,1800.0
911,1700.0
3566,2400.0
1338,2200.0
355,2000.0
2178,2400.0
4247,1600.0
4366,1940.0
426,2860.0
617,2100.0
990,2330.0
38,2900.0
3128,2500.0
203,2330.0
2939,2450.0
3915,1520.0
1305,1700.0
3363,2650.0
1297,1600.0
4110,1900.0
198,2200.0
2245,2000.0
2056,2100.0
4607,1600.0
104,2600.0
2344,2500.0
1542,1600.0
2513,2450.0
406,2300.0
4314,1600.0
4218,1530.0
1148,1800.0
4020,2000.0
4387,2040.0
640,2250.0
1516,2500.0
1355,1700.0
2642,2100.0
1440,2200.0
4743,1000.0
4767,1600.0
1807,2500.0
1259,1900.0
2598,2000.0
1559,2300.0
2821,2250.0
4006,1700.0
4535,1730.0
3892,2300.0
2657,2200.0
1862,1750.0
200,2300.0
330,2000.0
2824,2000.0
2923,2700.0
2948,2700.0
3680,1700.0
1543,1900.0
3347,2300.0
3798,2380.0
3774,1900.0
2082,2200.0
1116,1700.0
459,1880.0
1873,2600.0
222,2000.0
3505,2600.0
2542,2400.0
2806,2700.0
1833,2950.0
409,2600.0
1649,2200.0
4666,1150.0
3124,2400.0
1331,1900.0
724,1850.0
2652,2300.0
3645,1950.0
3594,2650.0
1043,2250.0
3923,2630.0
1925,1800.0
96,3500.0
1726,2600.0
4308,1500.0
3100,2200.0
4070,2100.0
2479,2700.0
3897,2200.0
1848,1800.0
1613,2000.0
4177,1800.0
2625,2650.0
4700,1630.0
3409,2800.0
2333,2200.0
3723,2300.0
1420,2250.0
773,1940.0
3079,2500.0
1639,2100.0
3377,2450.0
633,1500.0
4,2800.0
936,2100.0
3976,2200.0
2129,2100.0
2002,2000.0
2227,2780.0
3301,2400.0
2412,2100.0
423,2700.0
2530,2650.0
2817,3200.0
1177,1900.0
2672,2800.0
1800,1900.0
916,2150.0
2504,2350.0
1487,2000.0
4504,1500.0
3001,2050.0
904,1800.0
486,2650.0
1977,1800.0
1571,2500.0
2796,2700.0
3369,2600.0
3444,2700.0
2888,2400.0
2188,1850.0
923,2000.0
1129,2400.0
1348,1800.0
2269,2500.0
4167,1800.0
1600,1700.0
3552,2400.0
66,3200.0
2818,2200.0
4297,1700.0
1322,2200.0
1876,1800.0
1470,2000.0
55,2870.0
1836,2100.0
1237,1600.0
1813,2150.0
3191,1850.0
3619,2000.0
4386,1700.0
918,1900.0
1364,1800.0
342,2400.0
1943,1800.0
2370,3100.0
2780,2200.0
4127,1500.0
100,2350.0
4566,1700.0
794,1800.0
4690,1800.0
621,2200.0
2977,2300.0
2067,2600.0
2622,2200.0
4567,1850.0
1573,2000.0
2843,2000.0
1209,2000.0
576,1800.0
1192,2200.0
939,2300.0
2017,2000.0
721,1800.0
3518,2500.0
2289,2000.0
3536,2500.0
3771,2230.0
23,3000.0
919,2400.0
850,2550.0
1154,2300.0
4649,1250.0
2084,2000.0
329,1600.0
1263,1800.0
2093,2500.0
1202,1800.0
236,1900.0
4434,1900.0
1284,1800.0
4640,1400.0
3263,2500.0
1792,2750.0
1958,1800.0
3615,2000.0
527,2300.0
1363,1700.0
4379,1700.0
3984,1500.0
4115,1800.0
2152,1980.0
1042,2000.0
3320,2400.0
1725,2300.0
2561,2700.0
412,2000.0
4042,1950.0
2043,2100.0
1933,1800.0
2165,2200.0
2066,2000.0
1304,1500.0
3737,2400.0
1935,2200.0
932,1900.0
4756,1200.0
2555,2600.0
2150,2500.0
3822,2050.0
1677,2200.0
2792,2800.0
10,2650.0
3498,2400.0
2914,2100.0
2241,2050.0
1047,2500.0
3115,2720.0
3008,1950.0
631,2300.0
1892,2000.0
2954,2000.0
3211,2500.0
2491,2980.0
793,1650.0
180,2870.0
396,2400.0
2335,2000.0
2550,2250.0
1058,2080.0
228,2500.0
3729,2280.0
400,2700.0
2844,2480.0
2486,2400.0
1603,2400.0
477,1800.0
384,2500.0
3014,3300.0
997,2180.0
837,2100.0
1170,1800.0
1061,1480.0
714,2030.0
1051,2300.0
407,2500.0
759,2400.0
1772,1600.0
1219,1900.0
2522,2400.0
3084,2200.0
4466,1700.0
4151,1640.0
2099,2000.0
2823,2600.0
3601,2300.0
1877,1900.0
4657,1200.0
4541,1900.0
676,1800.0
1438,2300.0
2428,2000.0
4165,1930.0
275,2100.0
290,2250.0
4300,1500.0
4629,1800.0
3726,2280.0
4174,1900.0
2552,2600.0
3974,1600.0
1062,1750.0
2559,2780.0
3568,2000.0
2448,2550.0
1491,2000.0
3625,2400.0
4447,1200.0
3044,3000.0
845,2050.0
3129,2200.0
2829,2400.0
989,2100.0
4549,1700.0
3818,2080.0
915,2000.0
3631,1800.0
2781,2300.0
4544,1400.0
4411,2000.0
4669,1500.0
1264,1900.0
1834,1850.0
865,1800.0
3021,2300.0
4377,1800.0
4370,2000.0
4122,1980.0
136,2800.0
4124,1800.0
3831,1500.0
4196,1400.0
2597,2500.0
3516,2300.0
1921,2000.0
4353,1650.0
645,2100.0
2007,2600.0
1353,2200.0
4280,1600.0
4460,1500.0
1474,1900.0
4694,1630.0
3184,1950.0
550,1530.0
2094,1950.0
1332,2400.0
508,2530.0
1064,2030.0
1422,1850.0
2618,2300.0
4206,1800.0
182,2400.0
3098,2400.0
2155,2100.0
2745,2500.0
3654,2030.0
4091,1800.0
831,1700.0
3061,2000.0
3020,2950.0
4030,1800.0
1405,2300.0
681,2250.0
808,2100.0
506,1800.0
2717,2000.0
196,2700.0
1115,1400.0
3203,2500.0
3117,2400.0
4499,2350.0
1175,1800.0
1176,1900.0
3413,1800.0
832,2000.0
7,3200.0
2868,2750.0
4273,1400.0
3972,2200.0
260,2800.0
2984,2500.0
2440,2500.0
2553,2000.0
4749,1700.0
2408,2200.0
522,2750.0
4374,1750.0
4344,1680.0
268,1900.0
3279,2400.0
2814,2350.0
4753,1500.0
1667,1900.0
1243,2300.0
4748,1400.0
1032,1800.0
